{'score': 120, 'nbCoups': 15, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 31, 52, 719399)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 32, 8, 919837)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 36, 1, 896129)}
{'score': 8760, 'nbCoups': 380, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 36, 9, 361689)}
{'score': 1560, 'nbCoups': 79, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 36, 37, 208676)}
{'score': 8720, 'nbCoups': 385, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 36, 42, 905413)}
{'score': 6080, 'nbCoups': 270, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 37, 4, 662853)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 37, 11, 191906)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 13, 17, 54, 591295)}
{'score': 0, 'nbCoups': 6, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 13, 20, 8, 469482)}
{'score': 0, 'nbCoups': 6, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 13, 23, 22, 400651)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 13, 25, 9, 561222)}
{'score': 180, 'nbCoups': 17, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 13, 54, 9, 919654)}
{'score': 0, 'nbCoups': 13, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 13, 54, 52, 744272)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 3, 53, 949242)}
{'score': 0, 'nbCoups': 7, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 4, 15, 193292)}
{'score': 0, 'nbCoups': 6, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 7, 44, 598431)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 8, 30, 641078)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 34, 43, 778872)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 37, 51, 60561)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 42, 9, 386743)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 42, 19, 983282)}
{'score': 0, 'nbCoups': 7, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 45, 42, 237922)}
{'score': 0, 'nbCoups': 8, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 46, 14, 233744)}
{'score': 0, 'nbCoups': 6, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 48, 48, 589642)}
{'score': 0, 'nbCoups': 6, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 49, 5, 759367)}
